iter	RMSE
0	2700696.901
1	2696838.248
2	2692941.42
3	2686604.684
4	2682770.827
5	2679145.306
6	2674146.542
7	2667469.76
8	2664187.159
9	2660824.917
10	2655915.319
11	2652664.583
12	2649442.343
13	2640340.704
14	2637105.349
15	2634121.999
16	2626921.832
17	2619843.818
18	2616942.788
19	2614320.243
20	2608653.675
21	2601580.292
22	2596373.759
23	2593781.416
24	2587741.805
25	2583773.006
26	2580731.575
27	2578381.685
28	2571290.53
29	2567351.374
30	2560321.633
31	2555350.263
32	2553084.699
33	2547835.95
34	2541996.485
35	2539716.986
36	2534312.236
37	2530317.021
38	2523729.003
39	2519072.088
40	2513453.027
41	2509304.087
42	2504071.027
43	2497586.053
44	2491620.379
45	2489575.367
46	2486171.733
47	2481788.465
48	2475806.954
49	2470692.617
50	2465023.418
51	2459654.99
52	2455868.843
53	2452996.706
54	2447823.133
55	2444150.258
56	2442683.616
57	2439045.094
58	2433699.275
59	2429627.065
60	2424278.062
61	2420591.035
62	2418985.022
63	2414031.325
64	2409889.452
65	2406534.905
66	2402965.102
67	2398905.01
68	2393837.341
69	2392550.567
70	2390707.129
71	2387179.992
72	2385027.805
73	2380888.827
74	2377022.557
75	2372536.585
76	2369978.243
77	2367573.665
78	2364534.487
79	2361873.189
80	2358855.168
81	2355864.429
82	2353025.579
83	2348006.032
84	2344931.268
85	2342239.167
86	2338843.255
87	2333900.611
88	2329822.621
89	2325752.537
90	2322553.004
91	2319341.851
92	2316755.386
93	2313609.316
94	2312161.944
95	2310870.072
96	2309297.912
97	2307885.144
98	2303953.333
99	2300192.16
100	2298895.092
101	2297520.599
102	2296150.33
103	2292992.602
104	2288822.917
105	2287550.923
106	2284514.217
107	2281427.886
108	2278857.065
109	2274904.668
110	2270710.303
111	2269461.35
112	2268321.006
113	2266775.25
114	2263913.812
115	2258244.521
116	2256745.122
117	2253253.568
118	2249808.6
119	2246034.068
120	2244839.629
121	2240185.951
122	2236336.234
123	2235240.363
124	2234025.175
125	2229984.065
126	2226421.216
127	2224080.101
128	2221631.502
129	2218360.961
130	2215143.069
131	2213276.351
132	2210228.875
133	2207783.152
134	2203807.617
135	2200272.776
136	2195337.041
137	2193949.111
138	2191033.337
139	2190039.362
140	2187688.741
141	2182759.175
142	2181373.48
143	2175655.519
144	2173718.795
145	2170636.75
146	2168783.586
147	2166690.632
148	2164832.541
149	2162859.361
150	2161020.063
151	2160025.94
152	2155137.558
153	2153214.893
154	2149962.805
155	2146288.742
156	2145386.054
157	2143420.401
158	2140797.569
159	2138084.575
160	2135640.725
161	2132512.046
162	2127843.395
163	2124859.39
164	2123065.007
165	2119829.977
166	2113806.476
167	2110118.873
168	2107342.755
169	2105599.683
170	2104558.857
171	2102124.309
172	2101015.123
173	2099781.076
174	2098526.764
175	2096972.341
176	2094960.917
177	2093407.02
178	2091498.706
179	2086155.467
180	2083866.915
181	2082861.936
182	2081646.545
183	2076662.083
184	2075430.806
185	2074214.965
186	2073080.536
187	2068955.475
188	2067396.066
189	2062256.823
190	2058728.826
191	2057628.693
192	2054819.291
193	2050889.016
194	2045603.033
195	2041866.392
196	2039926.181
197	2038233.694
198	2035793.372
199	2031300.657
