iter	Passed	Remaining
0	137	27366
1	139	13822
2	141	9321
3	144	7058
4	146	5703
5	148	4800
6	150	4154
7	152	3668
8	154	3283
9	157	2983
10	159	2736
11	161	2528
12	163	2353
13	165	2202
14	167	2069
15	169	1954
16	172	1852
17	174	1762
18	176	1680
19	178	1607
20	181	1545
21	183	1482
22	185	1426
23	187	1375
24	189	1328
25	191	1284
26	193	1241
27	195	1201
28	197	1164
29	199	1130
30	201	1098
31	203	1069
32	205	1041
33	207	1014
34	209	988
35	211	963
36	213	940
37	215	917
38	217	895
39	218	875
40	220	855
41	222	836
42	224	818
43	226	802
44	228	786
45	229	769
46	231	753
47	233	739
48	235	724
49	236	710
50	238	697
51	240	684
52	242	671
53	243	659
54	245	648
55	247	636
56	249	625
57	250	614
58	252	603
59	254	593
60	256	583
61	258	574
62	259	565
63	261	556
64	263	547
65	265	538
66	267	530
67	268	521
68	270	513
69	272	505
70	274	498
71	275	490
72	277	483
73	279	476
74	281	468
75	283	461
76	284	455
77	286	448
78	288	441
79	290	435
80	291	428
81	293	422
82	295	416
83	297	410
84	299	404
85	300	398
86	302	393
87	304	387
88	306	381
89	307	376
90	309	371
91	311	365
92	313	360
93	315	355
94	317	350
95	319	345
96	320	340
97	322	335
98	324	330
99	326	326
100	328	321
101	330	317
102	331	312
103	333	307
104	335	303
105	337	298
106	338	294
107	340	290
108	342	285
109	344	281
110	345	277
111	347	273
112	349	269
113	351	264
114	353	261
115	354	256
116	356	253
117	358	249
118	360	245
119	361	241
120	363	237
121	365	233
122	367	229
123	369	226
124	370	222
125	372	218
126	374	215
127	376	211
128	378	208
129	379	204
130	381	200
131	383	197
132	385	194
133	386	190
134	388	187
135	390	183
136	392	180
137	394	177
138	396	173
139	398	170
140	400	167
141	401	164
142	403	160
143	405	157
144	406	154
145	408	151
146	410	147
147	412	144
148	413	141
149	415	138
150	417	135
151	419	132
152	420	129
153	422	126
154	424	123
155	426	120
156	428	117
157	430	114
158	431	111
159	433	108
160	435	105
161	436	102
162	438	99
163	440	96
164	442	93
165	444	91
166	446	88
167	448	85
168	450	82
169	452	79
170	454	77
171	456	74
172	458	71
173	459	68
174	461	65
175	463	63
176	465	60
177	466	57
178	468	54
179	470	52
180	472	49
181	473	46
182	475	44
183	477	41
184	479	38
185	480	36
186	482	33
187	484	30
188	486	28
189	488	25
190	489	23
191	491	20
192	493	17
193	494	15
194	496	12
195	498	10
196	500	7
197	502	5
198	503	2
199	505	0
