keyword,video_id,title,channel,published,views,likes,comments
data science,RBSUwFGa6Fk,What is Data Science?,IBM Technology,2022-06-13T12:00:14Z,813203,17232,308
data science,FsSrzmRawUg,Intro to Data Science: What is Data Science?,Steve Brunton,2019-06-06T05:19:06Z,127411,1839,48
data science,9R3X0JoCLyU,The Complete Data Science Roadmap,Programming with Mosh,2024-08-01T13:00:08Z,473905,14974,367
data science,JL_grPUnXzY,What is Data Science? | Free Data Science Course | Data Science for Beginners | codebasics,codebasics,2019-12-10T03:47:20Z,640974,8533,412
data science,dcXqhMqhZUo,Data Analytics vs Data Science,IBM Technology,2023-11-08T12:00:38Z,683896,13896,231
data science,X3paOmcrTjQ,Data Science In 5 Minutes | Data Science For Beginners | What Is Data Science? | Simplilearn,Simplilearn,2018-12-04T14:30:01Z,4429402,62186,1101
data science,-8A6SM7wDUo,Data Analyst vs Data Scientist | Difference between Data Analyst and Data Scientist | Must Watch,Analytics Vidhya,2024-01-21T15:00:00Z,89883,2334,14
data science,XtYpxjTawVE,🔥DO THIS to Become a Data Scientist in 2025 [Tips From a Sr. Data Scientist] | Intellipaat #Shorts,Intellipaat,2025-03-17T12:30:28Z,114468,4765,14
data science,TPORtXgeyYc,Data Science Degree  What Really Matters for Success,Data Science With Dennis,2025-08-05T07:15:03Z,1284,9,0
data science,PLVmp1V7kIY,🔥Salary of Data Scientist in US | Simplilearn | #Shorts #Datascience,Simplilearn,2024-09-12T13:55:19Z,22373,608,0
data science,ua-CiDNNj30,Learn Data Science Tutorial - Full Course for Beginners,freeCodeCamp.org,2019-05-30T12:48:19Z,4079039,84855,1322
data science,-JOoeynadEQ,Guided Data Science Projects for Your Resume!📄👨‍💼  #dataanalysis #datascience  #data  #shorts,codebasics,2023-09-05T12:30:00Z,327576,18069,49
data science,38covGUWUbw,Is Data Science Worth It in 2025? |  Is Data Science a Good Career |Intellipaat #shorts #DataScience,Intellipaat,2025-02-11T12:13:41Z,28208,1095,9
data science,uswU1s3M2VE,What Is Data Science? (Explained in 5 Minutes),365 Data Science,2021-05-20T14:00:30Z,179179,5374,78
data science,mAMbPhKqrcY,🔥Salary of Data Scientist | Data Science Professional Salary | Simplilearn #shorts,Simplilearn,2024-10-07T14:04:57Z,311684,7833,0
data science,JIbfzmt2LuY,How to learn Data Science? In Short,Apna College,2023-10-19T15:41:19Z,1159943,78718,262
data science,4DlsTsqpY84,Data Science for Beginners | Google Advanced Data Analytics Certificate,Google Career Certificates,2023-04-06T17:00:03Z,1923330,1707,88
data science,Vfo5le26IhY,Statistics for Data Science | Probability and Statistics | Statistics Tutorial | Ph.D. (Stanford),Great Learning,2019-12-20T07:17:27Z,2048696,46211,870
data science,oxx-EuXWP-Q,Don't become a Data Scientist if...! #codebasics #datascience #datascientist #shorts,codebasics,2024-11-04T13:15:07Z,261190,7412,82
data science,bd8dRl-P_XI,How to Become a Data Scientist in 2025? | BEST Data Science Learning Path | Intellipaat #Shorts,Intellipaat,2025-05-08T13:14:27Z,15688,609,16
data science,-ETQ97mXXF0,Data Science Full Course - Learn Data Science in 10 Hours | Data Science For Beginners | Edureka,edureka!,2019-08-18T08:30:02Z,4476117,89411,750
data science,N6BghzuFLIg,Intro to Data Science - Crash Course for Beginners,freeCodeCamp.org,2019-03-04T18:20:37Z,470236,9443,154
data science,DNeOJkyqBvI,Top 10 Data Science Certifications for 2022 | Data Science Certification | Data Science |Simplilearn,Simplilearn,2022-02-15T16:00:11Z,78135,1380,19
data science,3QV37pVP-CI,Which Should You Learn - Data Analytics or Data Science?,CareerFoundry,2024-03-18T13:00:03Z,9066,361,7
data science,R6u5EBWAssY,"Reality behind data science, machine learning jobs",codebasics,2022-02-16T12:55:12Z,2097669,84633,608
data science,LZzq1zSL1bs,Complete Statistics For Data Science In 6 hours By Krish Naik,Krish Naik,2022-06-19T04:28:36Z,1534922,29042,799
data science,9qqkbPqFq3Q,7 Skills You Need to Become a Data Scientist in 2025 📊,Coursera,2025-03-13T18:00:12Z,1575,48,1
data science,cUFTzYmbvnk,What is Data Science ?,Manocha Academy,2024-04-30T14:41:45Z,18521,368,24
data science,pRe6NIL56gg,Data Scientist vs Data Engineer 🔥 Epic Battle of Data Science 01,Analytics Vidhya,2023-05-27T12:30:32Z,95381,3002,75
data science,sJ_NhlX5ZF0,Data Science Podcast with @misraturp,Data Professor,2022-09-12T07:10:42Z,10254,203,16
data science,OJyCtg6cdto,🔥Data Analyst Vs Data Scientist | Which is better for you ? #Shorts #Simplilearn,Simplilearn,2024-08-06T15:23:06Z,304532,13654,4
data science,wQlW_zxDvm4,Data Science And Data Analytics - Key Differences | Data Science vs Data Analytics | Intellipaat,Intellipaat,2024-04-30T13:45:04Z,18551,522,10
data science,tTAieUcNHdY,Data Science Interview Questions | Data Science Tutorial | Data Science Interviews | Edureka,edureka!,2017-06-20T14:18:48Z,356825,5569,48
data science,yz64p4uDBmI,Data Science Roadmap 2024.,codebasics,2024-09-10T13:40:01Z,43889,1813,14
data science,sD468LfeVdc,Data Science Job Interview – Full Mock Interview,freeCodeCamp.org,2023-03-13T14:00:57Z,641868,15257,365
data science,dBpsI-aMfR8,How to Become a Data Scientist in 2025,365 Data Science,2023-06-29T15:00:30Z,143184,2338,58
data science,A83VFyWVYQk,Data Scientist Vs Machine Learning Engineer: Key Differences | Data Science | Machine Learning,SCALER,2022-09-30T13:30:02Z,102557,4264,21
data science,g2PQguOE58Y,Top 9 Machine Learning Algorithms 2025 | Machine Learning Algorithms for Data Science,upGrad,2024-11-11T14:30:25Z,12973,452,2
data science,zD73uHl4k8w,Roadmap to Become a Data Scientist in 2025 for Beginners!,Analytics Vidhya,2024-12-31T12:30:52Z,255786,2312,10
data science,A_MzXThZPgI,🔥Salary of a Data Scientist | How Much Do Data Scientists Make? | Intellipaat #Shorts #DataScientist,Intellipaat,2024-08-18T13:00:17Z,845828,24394,73
data science,9Ql_Lr7nQN4,Freelance Jobs in Data Science ft.@ShashankData,Luke Barousse,2023-03-27T15:00:07Z,113067,5009,10
data science,8YbeH4vYtrM,🔥FREE Data Science With Python Course | Learn Data Science For FREE | SkillUp | Simplilearn,Simplilearn,2021-12-30T16:00:04Z,25334,406,13
data science,PFPt6PQNslE,Data Science Roadmap 2024 | Data Science Weekly Study Plan | Free Resources to Become Data Scientist,codebasics,2023-12-30T13:30:11Z,486471,17835,1402
data science,Vxw0nE1qfZc,Data Scientist vs. AI Engineer,IBM Technology,2024-05-13T11:00:20Z,258126,8421,187
data science,fG_ETXqi_So,What Do Data Scientists ACTUALLY Do? | Life as a Data Scientist | Intellipaat #Shorts #DataScientist,Intellipaat,2024-10-11T12:30:34Z,329545,7386,33
data science,rLfaX6JtoDg,Question Of The Decade? Is DSA Required For Data Science? #dsa #datascience,Krish Naik,2023-09-18T04:53:00Z,54919,1570,90
data science,-LVdJuNzmU0,How I Learned Data Science | My Data Science Journey,codebasics,2021-05-24T14:30:12Z,91253,3447,287
data science,q1DWEkcFu38,🔥 Salary Of Data Scientist  | How Much Does A Data Scientist Make? #shorts  #simplilearn,Simplilearn,2025-01-31T15:15:03Z,125910,4237,0
data science,oFkygFxJ9js,Data Science Full Course 2025 (BEST For Beginners) | Intellipaat,Intellipaat,2025-07-14T19:53:12Z,38008,1005,29
data science,LOU9dTBnVzE,Mathematics required for Data Science? | Machine Learning #shorts,Analytics Vidhya,2023-02-08T12:45:01Z,38706,2388,37
data science,a5KmkeQ714k,Data Science Course | Data Science Full Course | Data Scientist For Beginners | Intellipaat,Intellipaat,2021-08-08T15:19:52Z,1992103,12107,261
data science,7HIZhQ_wo4E,🔥 Top Data Science Interview Questions | Data Science Interviews #Shorts #simplilearn,Simplilearn,2024-03-27T14:23:25Z,29928,1115,2
data science,xC-c7E5PK0Y,What REALLY is Data Science? Told by a Data Scientist,Joma Tech,2018-06-23T01:51:50Z,4058291,153314,3755
data science,lacZhiHf5iw,Data Scientist Kaise Bane? | How to Become a Data Scientist in 2025 | Intellipaat #Shorts,Intellipaat,2025-02-12T13:52:23Z,497871,28711,127
data science,Oml821I7Dtc,What are the Top 5 Roles in Data Science | Career Opportunities in Data Science Explained | #shorts,SCALER,2023-07-31T12:30:22Z,20616,1154,12
data science,TRVWp3c1Em8,Data Scientist vs AI Engineer,IBM Technology,2025-04-19T11:00:49Z,20256,809,15
data science,ungiC5ugka8,Data Science Vs Artificial Intelligence | Which Is Better Data Science Or AI | Intellipaat,Intellipaat,2022-04-09T06:12:44Z,83966,2730,25
data science,YJCeA8cUC90,Data Analyst vs Data Engineer vs Data Scientist in 2025 | Career Guide,codebasics,2025-02-10T14:00:44Z,52122,1318,80
data science,ppYbY-LbqiI,Data Science Full Course 2025 (FREE) | Intellipaat,Intellipaat,2025-07-23T20:11:47Z,84392,1356,30
data science,t3uVPX6rwgM,Introduction to Data Science with Python,Harvard Online,2022-10-05T13:23:58Z,20705,0,12
data science,o1OkB7nCOYU,Can I Learn Data Science for Free? | Free Data Science Courses For Beginners | Intellipaat #Shorts,Intellipaat,2024-11-04T14:28:36Z,61793,2108,13
data science,xSvcxgKPjow,How to (And Why) Become a Data Scientist in 2025,365 Data Science,2024-02-22T12:12:46Z,12681,532,14
data science,psx2wcwNkW0,Introduction to Data Science | What is Data Science | Edureka | Data Science Rewind - 1,edureka!,2020-08-12T06:37:40Z,6311,172,3
data science,xQc0e9OMd7s,Is Data Science and AI Engineer the right career for you?,codebasics,2024-05-13T12:30:42Z,238668,9049,58
data science,Dbyz5XjQer4,Top 3 Skills every Data Scientist must have 🔥,CodeWithHarry,2024-12-20T14:06:12Z,318837,21673,77
data science,LVrRpjmgfgc,Top 6 Data Science GitHub Projects || MUST BOOKMARK 🔥,Analytics Vidhya,2023-12-28T13:30:08Z,131715,6529,23
data science,iJUzouXg5kY,Demystifying Data Science | Mr.Asitang Mishra | TEDxOakLawn,TEDx Talks,2019-07-23T21:28:41Z,154677,3273,90
data science,e_s_RiI766g,Data Science Course | Data Science Training | Data Science Course For Beginners | Intellipaat,Intellipaat,2023-05-20T18:25:36Z,89254,950,63
data science,sDlH-YPXd0A,How to become a Data Scientist in 2025,Sahil & Sarra,2025-01-19T13:30:34Z,111073,5167,135
data science,2qVWurPFwfc,Is Data Science Dying?,Ken Jee,2021-11-19T13:00:01Z,127389,3899,359
data science,DDJaJJT_jPw,Data Scientist vs Data Engineer: Which Career is Right for You?,365 Data Science,2024-09-27T06:49:20Z,11757,371,13
data science,L5bxMgXEfTw,Data Science Courses With FREE Certifications | Online Data Science Course | Intellipaat #Shorts,Intellipaat,2024-11-10T12:00:30Z,20237,740,5
data science,MOptXrYYcoY,All Important Topics In Probability For Data Science In 1 Video,Krish Naik,2021-05-25T13:30:16Z,89131,2458,87
data science,YC2dq5lwE2o,AI vs Machine Learning vs Data Science (What’s the Difference?),365 Data Science,2025-02-28T09:43:26Z,5111,147,3
data science,l8zyoK0FZUs,#1 Data Science Course You Must Take to be JOB READY in 2025 | Data Science Full Course |Intellipaat,Intellipaat,2025-05-10T20:08:43Z,31103,450,9
data science,xxpc-HPKN28,Statistics - A Full University Course on Data Science Basics,freeCodeCamp.org,2019-06-12T14:59:55Z,3425328,75039,1126
data science,pWWooQr_3ok,Data Science Full Course (2025) | Data Science Course For Beginners | Intellipaat,Intellipaat,2025-07-04T18:54:39Z,17274,524,10
data science,pvgxFTEnZew,Most Asked Data Science Interview Questions 2025 | Data Science Interview Prep | Intellipaat #Shorts,Intellipaat,2025-03-04T12:34:06Z,59573,593,389
data science,x9PlR2CLxwY,Data Science Roadmap 2023 👨‍💻👩‍💻,Rafa Gonzalez Gouveia,2023-01-23T16:43:05Z,52146,3893,129
data science,y7xbHtFostg,Data Science Explained in 60 Seconds,Shaw Talebi,2024-07-22T13:46:22Z,26580,580,17
data science,v-jPiFqTOsg,Learn AI & Data Science in 2025 (Before It’s Too Late),Ishan Sharma,2025-07-01T15:20:35Z,60379,1914,91
data science,vtCwJKUhizg,Data Science Interview Questions | Data Science Interview Questions And Answers | Simplilearn,Simplilearn,2024-05-10T15:30:14Z,42344,797,5
data science,dkVayeE1LY8,Data Scientist Roadmap 2025 | How to Become a Data Scientist Step-by-Step | Intellipaat,Intellipaat,2025-06-13T15:09:01Z,29813,1336,11
data science,LDds33bJy6g,Degrees vs. Experience in Data Science 📜 🆚 📊,Luke Barousse,2023-01-16T16:00:18Z,48044,2640,41
data science,mkv5mxYu0Wk,Data Science With Python | Python for Data Science | Python Data Science Tutorial | Simplilearn,Simplilearn,2018-05-15T13:40:37Z,387611,5410,549
data science,A3ZSv6IqXY8,Top 30 Data Science Interview Questions & Answers | Data Science Interview Questions | Intellipaat,Intellipaat,2025-02-10T14:30:11Z,33267,716,25
data science,uIUvpJdYgSA,What is Data Science? | Completely RoadMap | Simply Explained by Shradha Khapra Ma'am,Apna College,2023-09-13T15:15:55Z,1848854,67551,2259
data science,5vBgPR5UNXc,Is Data Science a good career?,codebasics,2024-08-05T12:30:04Z,146088,3392,38
data science,9NPtLePy-Qg,AI for Data Science🔥,CodeWithHarry,2025-01-25T11:30:05Z,240095,17066,145
data science,pQkHUhFuRZo,Data Science Full Course (2025) | Data Science Course FREE | Intellipaat,Intellipaat,2025-06-26T12:32:04Z,10709,380,32
data science,u2zsY-2uZiE,Data Science Course for Beginners (11 Hours Data Science Tutorial),Great Learning,2020-02-03T12:56:37Z,1002507,29297,510
data science,aq71ct5bgIA,🔥Want to Learn Data Science? Here’s What We Think as Data Scientists | Intellipaat #shorts,Intellipaat,2025-06-24T14:28:35Z,10482,111,0
data science,Ep7_U4UDBAs,Is Data Science Hard or Easy?? #dataanalytics #datascience,BEPEC,2023-05-16T13:57:18Z,1698574,87337,315
data science,OSouzugoOXs,Is Data Science Hard or Easy🤔? | Is Data Science Difficult | Intellipaat #Shorts #DataScience,Intellipaat,2024-10-22T14:17:27Z,24180,790,8
data science,51U1r-1CiZE,Data Science Full Course - Learn Data Science in 10 Hours | Data Science For Beginners | Edureka,edureka!,2025-03-07T15:07:43Z,16070,390,4
data science,FXiLOfout3Y,Trouble finding Data Science Projects? Try these! #shorts,Nicholas Renotte,2022-07-26T03:21:00Z,34214,1975,28
data science,7eh4d6sabA0,Python Machine Learning Tutorial (Data Science),Programming with Mosh,2020-09-17T13:00:03Z,3320851,73922,1957
data science,qQDttl3iMRA,Data Science Full Course 2025 - Learn Complete Data Science | Data Science Course FREE | Intellipaat,Intellipaat,2025-06-06T07:30:07Z,10589,288,20
data science,sszlIob3j18,Data Science Interview Questions & Answers | Data Science Interview Questions | Data Science Course,upGrad,2020-10-21T13:30:05Z,4369,0,2
data science,IBnLsKOhpyU,Data Science Full Course 2025 | Data Science Tutorial | Data Science Training Course | Simplilearn,Simplilearn,2025-08-05T20:26:15Z,6788,194,0
data science,wzr4dgoXBZU,🔥How Much Does B.Tech in Data Science & AI Pay? | Salary of Data Science & AI Engineer | Intellipaat,Intellipaat,2025-06-18T14:49:30Z,53240,1137,8
data science,8HNH6Ki8soo,Top 10 Universities for Data Science in the USA,AdmitEDGE,2020-10-05T10:30:12Z,173983,2987,85
data science,XHmp9lDcQDw,Comment se former à la Data Science ?,DataScientest,2023-02-22T10:18:04Z,14355,480,14
data science,5b9Z8toVaAU,O que é Data Science? #HipstersPontoTube,Alura,2019-04-03T14:00:01Z,362554,29764,317
data science,e8qqqs9TYDg,Masters in Data Science: 6 things you need to know,Posit PBC,2024-02-13T18:27:57Z,12888,375,8
data science,uFTd2b23GvI,Best Data Science Books for Beginners 📚,Thu Vu,2022-10-08T03:23:51Z,388500,19899,275
data science,K1ASqnuVlAA,Data Science Gamechanger?,Rob Mulla,2025-04-05T15:02:39Z,15022,689,42
data science,r1xphxV7rfw,Computer Science vs. Data Science,Khoury College of Computer Sciences,2023-01-20T18:01:39Z,67189,1082,24
data science,bMg1A81QZgM,🔥 Salary Of Data Analyst  | How Much Does A Data Analyst Make? #shorts  #simplilearn,Simplilearn,2025-03-05T15:23:50Z,400479,13577,6
