iter	RMSE
0	2700696.901
1	2696838.248
2	2692939.17
3	2686602.432
4	2682815.634
5	2679188.958
6	2674178.304
7	2667502.197
8	2664210.764
9	2657997.954
10	2653096.089
11	2649835.303
12	2646695.515
13	2637636.495
14	2634399.76
15	2631412.135
16	2624266.918
17	2617226.096
18	2614318.33
19	2611686.264
20	2606079.419
21	2598997.087
22	2596297.173
23	2593704.869
24	2587648.702
25	2583666.066
26	2580615.878
27	2578264.837
28	2571169.124
29	2567218.685
30	2560187.597
31	2557545.101
32	2555281.761
33	2549970.071
34	2543649.857
35	2539909.556
36	2534459.77
37	2530457.141
38	2523811.702
39	2520731.804
40	2514962.912
41	2510814.964
42	2505475.192
43	2500428.752
44	2494273.745
45	2492277.823
46	2484955.395
47	2480583.387
48	2474778.407
49	2469511.489
50	2463694.724
51	2460006.194
52	2458265.342
53	2456798.638
54	2451845.792
55	2449659.485
56	2443639.558
57	2438318.646
58	2432776.032
59	2428839.57
60	2423687.78
61	2420146.268
62	2418559.828
63	2416707.927
64	2412583.23
65	2407812.709
66	2404130.886
67	2399201.636
68	2394332.165
69	2393089.88
70	2391290.442
71	2387636.103
72	2385430.712
73	2381469.911
74	2377725.506
75	2373336.973
76	2370779.474
77	2368481.465
78	2365578.012
79	2363296.457
80	2360407.895
81	2358498.401
82	2355775.907
83	2350687.528
84	2347492.573
85	2344893.015
86	2341367.052
87	2334861.012
88	2330992.156
89	2326828.151
90	2322974.025
91	2319181.513
92	2315045.794
93	2311768.749
94	2308548.885
95	2307329.16
96	2304806.641
97	2303404.718
98	2299507.482
99	2295852.706
100	2295078.67
101	2293703.46
102	2291495.235
103	2288193.607
104	2283879.581
105	2281844.985
106	2278689.022
107	2273216.575
108	2272041.923
109	2266763.655
110	2262339.65
111	2261002.654
112	2258649.558
113	2255645.747
114	2252619.237
115	2247092.351
116	2245657.713
117	2242651.759
118	2240230.57
119	2236342.551
120	2234086.067
121	2229502.215
122	2225557.208
123	2224492.58
124	2223312.506
125	2218328.338
126	2214699.309
127	2212389.805
128	2209872.849
129	2206500.069
130	2203387.978
131	2201523.941
132	2198562.423
133	2196062.165
134	2192008.834
135	2188388.729
136	2183414.756
137	2182060.07
138	2179201.415
139	2178267.164
140	2174662.399
141	2172415.439
142	2170786.255
143	2168712.818
144	2166905.558
145	2163892.744
146	2162140.496
147	2160104.113
148	2157860.794
149	2155972.25
150	2154738.01
151	2153606.092
152	2152446.786
153	2150539.433
154	2147264.828
155	2143550.809
156	2142698.54
157	2140751.771
158	2136907.501
159	2134201.597
160	2131692.688
161	2128559.066
162	2123861.23
163	2120879.402
164	2119908.75
165	2118614.137
166	2117497.932
167	2113766.07
168	2112514.867
169	2107963.666
170	2106902.582
171	2103907.229
172	2098484.577
173	2094342.095
174	2092762.637
175	2090975.385
176	2089423.208
177	2086455.706
178	2085109.237
179	2083880.377
180	2081483.88
181	2073756.719
182	2071129.443
183	2066049.44
184	2064832.92
185	2063714.299
186	2061517.935
187	2057418.747
188	2056325.138
189	2052738.423
190	2049381.464
191	2047365.433
192	2045528.357
193	2041716.561
194	2036347.304
195	2033480.804
196	2032043.553
197	2031382.366
198	2028026.728
199	2026951.099
