iter	Passed	Remaining
0	1	372
1	2	290
2	3	250
3	4	233
4	5	221
5	6	215
6	7	208
7	8	201
8	9	196
9	10	193
10	11	191
11	11	187
12	12	184
13	13	181
14	14	178
15	15	175
16	16	173
17	17	172
18	17	170
19	18	168
20	20	174
21	21	173
22	22	170
23	22	168
24	23	166
25	24	164
26	25	162
27	26	161
28	27	159
29	27	157
30	28	156
31	29	154
32	30	152
33	30	150
34	31	148
35	32	147
36	33	145
37	33	143
38	34	142
39	35	141
40	36	140
41	36	138
42	37	137
43	38	135
44	39	134
45	39	133
46	40	131
47	41	130
48	41	129
49	42	128
50	43	127
51	44	126
52	45	124
53	45	123
54	46	122
55	47	121
56	47	120
57	48	119
58	49	118
59	50	117
60	51	116
61	51	115
62	52	114
63	53	112
64	53	111
65	54	110
66	55	109
67	55	108
68	56	107
69	57	106
70	58	105
71	58	104
72	59	103
73	60	102
74	61	101
75	61	100
76	62	100
77	63	99
78	64	98
79	64	97
80	65	96
81	66	95
82	67	94
83	67	93
84	68	92
85	69	91
86	70	91
87	70	90
88	71	89
89	72	88
90	72	87
91	73	86
92	74	85
93	75	84
94	75	83
95	76	83
96	77	82
97	78	81
98	78	80
99	79	79
100	80	78
101	80	77
102	81	76
103	82	75
104	83	75
105	83	74
106	84	73
107	85	72
108	86	71
109	86	71
110	87	70
111	88	69
112	89	68
113	89	67
114	90	67
115	91	66
116	92	65
117	93	64
118	93	63
119	94	63
120	95	62
121	96	61
122	96	60
123	97	59
124	98	58
125	99	58
126	99	57
127	100	56
128	101	55
129	102	54
130	102	54
131	103	53
132	104	52
133	105	51
134	105	50
135	106	50
136	107	49
137	107	48
138	108	47
139	110	47
140	110	46
141	111	45
142	112	44
143	113	44
144	113	43
145	114	42
146	115	41
147	116	40
148	116	40
149	117	39
150	118	38
151	119	37
152	119	36
153	120	35
154	121	35
155	121	34
156	122	33
157	123	32
158	124	32
159	125	31
160	125	30
161	126	29
162	127	28
163	128	28
164	128	27
165	129	26
166	130	25
167	130	24
168	131	24
169	132	23
170	133	22
171	134	21
172	134	21
173	135	20
174	136	19
175	136	18
176	137	17
177	138	17
178	139	16
179	140	15
180	140	14
181	141	14
182	142	13
183	143	12
184	143	11
185	144	10
186	145	10
187	145	9
188	146	8
189	147	7
190	148	6
191	148	6
192	149	5
193	150	4
194	151	3
195	151	3
196	152	2
197	153	1
198	154	0
199	154	0
